pathway	CD4_Th17/Th2	CD4_TN	CD8_Act_Treg	CD8_Tex_TRM	Cyto_gdT/CD8_CTL	FOXP3-_Treg
Hypoxia-Inducible Factor-1alpha Signaling Pathway (5g)	0.6400683115051915	1.5444571920125947	-0.3698293534374839	-0.41247789368708926	-1.3774761720129534	-0.02474208438025451
Response To Hypoxia (346g)	0.23924020537866714	-0.37728874722461464	0.8200709934571722	0.7368338488721484	0.42600132125441204	-1.8448576217377781
Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Hypoxia (77g)	0.12859421620612127	0.8930107377473385	1.2610714764145974	-1.1747933135457482	-0.005374219163697957	-1.1025088976585982
Cellular Response To Hypoxia (196g)	0.2978711529590756	0.014121087098236649	0.8273657622693109	0.9351551430318582	-0.2625883437298881	-1.811924801628582
Positive Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Hypoxia (6g)	0.36121722350268565	-0.28993102392280296	0.9051779178902808	1.2339585384654392	-1.120658369552568	-1.0897642863830321
Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Hypoxia (4g)	-0.2259275596078875	-0.19883035386887243	0.24724898666568926	-1.0646129845377772	1.8342091202878603	-0.5920872089390151
Negative Regulation Of Cellular Response To Hypoxia (7g)	-0.28305327852506806	-0.32694709817112705	-0.1336310823191211	-1.432956762019757	0.6564399994108774	1.5201482216241973
Regulation Of Hypoxia-Induced Intrinsic Apoptotic Signaling Pathway (5g)	0.16032174630993143	-0.15249181736103518	-0.1180106291150647	-1.7621267232005031	0.7370826913167079	1.1352247320499609
Negative Regulation Of Hypoxia-Induced Intrinsic Apoptotic Signaling Pathway (5g)	0.16032174630993143	-0.15249181736103518	-0.1180106291150647	-1.7621267232005031	0.7370826913167079	1.1352247320499609
Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia (7g)	0.03726519551285647	0.22976363192552818	0.03626518476445123	-1.8243717376734423	0.2813030886434993	1.2397746368271096
