gene	1	2	3	4	5	6	7	8	9	10	11
LEPR	-0.3636835638110974	-0.05346020717555359	2.0104166174626386	-0.4790179646865048	-0.5845037659115943	-0.3165895749289267	0.28770757308020645	1.8086761705354402	-0.6554890753982282	-0.8212213368174106	-0.8328348723489709
FOXC1	-0.7331512073800656	-0.5483537555794822	1.947526079960812	-0.7294208502491962	-0.5651070395827335	-1.049271890409545	1.443182025121341	-0.08589295309629716	-0.024506397973722324	-0.6232104174255824	0.9682064066144711
ID1	-0.45512688504337345	-0.6016916954841225	1.8068062950699821	-0.6442824339549837	-0.7196341617585882	-0.7311677940260967	1.2289081304596032	-0.443905810796731	-0.43855343731985735	-0.5731621695098076	1.5718099623639745
EPCAM	0.08819969283389519	-1.1757491196426182	1.2564273305121016	-0.057685197350251786	1.8362508570193485	-0.5643095798021663	0.9513040682014885	0.267569913802543	-0.6348496343499035	-0.8759408964054453	-1.0912174348189905
PDGFRA	0.7546266468622188	1.0254339267344559	-0.7388878521299456	0.35607205512186957	0.5593302897907082	1.7599664826421784	-1.0487280982634457	-0.8837113469280016	-0.7933748591242179	0.3092973788190587	-1.3000246235248794
CXCL12	0.6852084891491762	1.2163558717618637	-0.9680286917600303	1.0491238149503312	-0.46459538267612377	1.6291537736237254	-1.0563860772491278	-0.7268264470333832	-0.834508392870548	0.3107602110170819	-0.8402571689129643
NR2F2	0.13774869789696867	0.8324073032794815	0.9628460430285651	-0.4299904257970421	-0.6922450256410876	1.2465088457604265	0.8634800206489508	-1.8802728349104356	0.6513818697016046	-0.7882829719399982	-0.9035815220274331
CD34	-0.2930193603733061	-0.22539263337332507	0.960323553650015	-0.9299985788653409	-0.2696775538658415	-0.6025280423062453	0.759507013432647	2.4126301854182715	-0.8462985630988186	-0.30890959532062084	-0.6566364252974343
COL1A2	-0.34059549705859943	0.7143654567385146	-0.4584402879876164	-0.7436882417418466	-0.2912541731159631	0.6252401247069705	0.4266301975877239	2.326342458701917	-0.34956922997065926	-0.40843744417061234	-1.50059336368983
COL1A1	-0.021124160607105643	0.4402568530687403	-0.19567586380285315	-1.195002208279812	-0.9845139524823846	-0.16314512379483784	1.1073097370067295	2.2815651985839396	-0.16657487891864992	-0.18027125515661113	-0.9228243456171539
MGP	-1.1641598692202049	0.3151529234133331	0.7757156282470078	-0.44580137734935865	-1.4310470222746294	0.13865101616356018	1.2430472559851555	1.878970349476464	-0.30812246026203344	-0.5500514592931215	-0.4523549848861708
ADIPOQ	0.2317533159630973	-0.7278205111487338	0.035721258892061646	-0.93446795212885	1.5294033390907373	-0.93446795212885	0.6187978984882933	1.7663249972468253	0.2836915099831186	-0.93446795212885	-0.93446795212885
PECAM1	0.848636105249834	-0.9380361765797671	0.1202590390356894	-1.4409960932541839	0.5377393781617719	-1.4076749409368932	0.29639625875149506	1.5540938226074503	-0.6870353703493357	1.027226215613388	0.08939176170055042
GLI1	0.012335455786750622	-0.763260641548412	1.305699026586364	-0.4638506673005067	-0.5783629471790015	-1.1758108443161337	0.2512280849476442	1.4181178457939003	1.1620064383226363	0.3307100799347931	-1.4988118310280336
RGS5	-0.2110652857170674	-0.3628281871585475	-0.45609608299525495	-0.41805498345724035	-0.4795526679189887	-0.22854366384451702	-0.5344773610379613	-0.5928625913629408	2.5622242201638694	-0.5603928647708041	1.2816494680994517
PDGFRB	1.0316856634131555	-0.09741843474613444	-1.0124054193460372	-0.6600176307935962	-0.08756520626234683	0.4034036946670746	-1.3741424487705056	-0.9258425446753531	2.0598079686642667	0.540333269175857	0.12216108867361951
NGFR	1.4048762845319216	0.6029086936759843	-0.7290862747501495	0.13733627045551025	-0.5921261120195569	0.6917183539925829	-0.7769610987458769	-0.8913020562488486	1.8069126160711098	-0.47219376342326774	-1.1820829135394098
PTPRC	-0.6499759756614518	0.31046840425698125	0.5937762741390412	1.590840795064503	-0.7469575496014067	-0.568428877791773	-0.7154503409368509	-1.1337213843108498	1.722239976449164	0.45902640257092386	-0.8618177241782788
MCAM	-0.3698766685191991	-0.4000013075099903	-0.3773010274463836	-0.32159058788036576	-0.3904331902579652	-0.40524289861396284	-0.30193831291600004	-0.33375499412400383	0.2628500441326956	-0.3232230593582	2.960512002493375
CSPG4	-0.3835805251498873	-0.5035599508779663	-0.38702808591542914	-0.5191412960744702	-0.48275067513767145	-0.45806925657449005	-0.3203783456151012	-0.4665359754420042	1.4397435599104476	-0.40469633753934586	2.4859968884159187
ACTA2	-0.650633634068922	1.1491842943584156	-0.5838829944666335	0.20156669910347655	-0.6425916436354139	-0.35629023162149376	-0.6697731211861079	-0.8999492261414246	0.19344310143521667	-0.1910168706628097	2.4499436268856978
