gene	1	2	3	4	5	6
ENG	1.698821818677701	-1.1171387433465119	0.1785027489199865	0.40055915094244204	-0.5764902843288391	-0.5842546908647781
PDGFRA	1.577931991591739	-0.6692515478672064	-0.630506518421537	0.9021400238434741	-0.3124274353435579	-0.8678865138029123
LEPR	-0.48985330298935587	2.032602386006586	-0.28500814371209826	-0.48135782713541897	-0.3037791346267582	-0.4726039775429549
VCAM1	-0.4150762091340598	2.032113241213059	-0.479880293178695	-0.22853941448651668	-0.49251490927400643	-0.41610241513978147
ADIPOQ	-0.4142083092569631	2.025710885869337	-0.4098785230763039	-0.5888928445883673	-0.20050737353004192	-0.41222383541766067
PTPRC	-0.5236801832102802	2.007507593826383	-0.4459294533211842	-0.27878199628427436	-0.6354596476746861	-0.12365631333595792
CXCL12	-0.14771182273504813	1.9595197540700227	-0.7082103291068208	0.021521881638523456	-0.5207771935274291	-0.6043422903392481
COL1A1	-0.6165485055619088	1.824412448750144	-0.3200192193396663	-0.6358320269426322	0.4875640591618517	-0.7395767560677877
COL1A2	-0.4517133790143039	1.6783562163325803	-0.5543211912294336	-0.503102435174871	0.7533563307006799	-0.9225755416146523
FOXC1	-0.8704086296276078	1.660564146648453	0.7769181346757523	-0.6102695875876041	-0.6383203960177173	-0.3184836680912771
NGFR	0.587367850028711	0.9910471692800892	-1.164747738827283	0.24472181805910664	-1.3390362079323468	0.6806471093917235
ID1	-0.5079252162557513	-0.8511364909763067	1.8716145307002607	-0.437066029872147	-0.43821927273803013	0.3627324791419745
EPCAM	0.5686539120106251	-0.354160196854857	1.5991272531277938	-1.1629011502530189	0.13828763253652698	-0.7890074505670692
NR2F2	0.55347678048616	-1.3453033433602894	1.060594379021845	0.5217417960453968	-1.1615102157897086	0.37100060359659426
ACTA2	-0.5097230419154581	-0.6687049515652692	-0.6089573255089097	1.4136856116350092	-0.775920716037834	1.1496204233924623
CD14	0.8362948042860158	-1.0042267419472939	0.11194283326234028	1.3342574550450899	-1.2232491078013172	-0.05501924284483423
CD34	-0.3202484006550134	-1.0134002446816508	0.8113329404229896	-0.3782530223732823	1.604323444550948	-0.7037547172639916
PECAM1	0.23954216094789194	-0.7997944651744511	0.5253325336528617	-1.2472675673124816	1.5491948545229717	-0.26700751663679084
MGP	-0.7244741032874457	-1.370307038031804	1.0476848180251936	0.23984765566288513	1.1507522725391814	-0.3435036049080122
GLI1	-0.2625674883818354	-1.4839125977443672	1.0056204928946118	-0.6282137666154507	1.1238291062662766	0.24524425358076427
CSPG4	-0.4072299825924035	-0.34004999712859113	-0.32607860472395167	-0.48657400471977624	-0.47676625071791007	2.036698839882633
RGS5	-0.22642131086649508	-0.48173253068497895	-0.423348823482048	-0.35499206167719805	-0.5425578867502874	2.029052613461007
MCAM	-0.6001451253150093	0.3665518831729551	-0.5275041793195872	-0.5625692887982742	-0.5699689629550526	1.8936356732149684
PDGFRB	0.7505457408193202	-0.49073725147634367	-1.0975916516081254	-0.38994729119210647	-0.407269114137042	1.6349995675942965
