pathway	Eosinophil	Foam_Cell	FOLR2_Mac	M2_Mac	Mast	TREM2_Mac
Vocalization Behavior (18g)	1.9301906341681558	-0.5013225885841096	-0.22436812307565304	-0.5871719033458099	0.15897951790092843	-0.7763075370635119
Clustering Of Voltage-Gated Potassium Channels (3g)	1.9372599941310829	-0.6658011568250646	-0.2281094702505592	-0.4203082952132213	0.12491356716057504	-0.7479546390028129
Vocal Learning (7g)	1.9781459923465572	-0.695741636551822	-0.4016091913632667	-0.25585297790417927	-0.011759478098218966	-0.6131827084290705
Imitative Learning (7g)	1.9781459923465572	-0.695741636551822	-0.4016091913632667	-0.25585297790417927	-0.011759478098218966	-0.6131827084290705
Learned Vocalization Behavior Or Vocal Learning (10g)	1.9623405043906519	-0.7242545809663291	-0.35469425572427377	-0.27105735806711734	0.03873738777045609	-0.6510716974033874
Regulation Of Calcium Ion Transmembrane Transporter Activity (95g)	1.9402914671434937	-0.26132687022040907	-0.9285231260498175	-0.04061749910076496	-0.19483813240450876	-0.5149858393679899
Regulation Of Postsynapse Assembly (13g)	2.010014876339398	-0.4393854866032008	-0.42888591925250336	-0.5763456791205644	-0.06959588509323224	-0.4958019062698967
Regulation Of Postsynaptic Specialization Assembly (13g)	2.010014876339398	-0.4393854866032008	-0.42888591925250336	-0.5763456791205644	-0.06959588509323224	-0.4958019062698967
Regulation Of Postsynaptic Density Assembly (12g)	2.0103513694768536	-0.4435927926900674	-0.4497841974142553	-0.5705032648898332	-0.06754444593553632	-0.47892666854716226
Regulation Of Excitatory Synapse Assembly (15g)	1.9664669222643858	-0.5375069628774487	-0.39278607642165386	-0.5834207394089869	0.12500693878758423	-0.5777600823438798
Presynapse Assembly (44g)	1.9846291175963824	-0.314520439031528	-0.8619081931723355	-0.28685821621709945	-0.2856902126750279	-0.23565205650038737
Superior Temporal Gyrus Development (2g)	1.9620972469803082	-0.38529874710975864	-0.879538291723217	-0.02273161093703154	-0.34502709119251856	-0.32950150601778355
Positive Regulation Of Blood Pressure By Epinephrine-Norepinephrine (7g)	1.966063049283711	-0.6444102890941839	-0.2548227388636194	-0.160912317459777	-0.12268576772129262	-0.7832319361448375
Regulation Of Systemic Arterial Blood Pressure By Norepinephrine-Epinephrine (9g)	1.9570165122077152	-0.6656060971521789	-0.21919704484490293	-0.1747142648731048	-0.09822840243637564	-0.7992707029011523
Positive Regulation Of Heart Rate By Epinephrine-Norepinephrine (4g)	1.9811192541272553	-0.6079978351966315	-0.3559870783548291	-0.12418589511708727	-0.15952672431084675	-0.7334217211478594
Lateral Motor Column Neuron Migration (3g)	1.9727653244239378	-0.001169606134988577	-0.7551314917698965	-0.46822174993460813	-0.23482474171937923	-0.5134177348650657
Spinal Cord Motor Neuron Migration (4g)	1.975217541038523	-0.007731566050474846	-0.7287746298130577	-0.47870917064081653	-0.2228716745255155	-0.5371305000086596
Gephyrin Clustering Involved In Postsynaptic Density Assembly (3g)	1.9725433839407254	-0.262964840021114	-0.2952191548255298	-0.5888422582959196	-0.04855170780796745	-0.7769654229901948
Dorsal/Ventral Axon Guidance (3g)	1.955503187802632	-0.6627140936235766	-0.08476464169243798	-0.4881335448353307	-0.01918420964419566	-0.7007066980070911
Cardiac Right Ventricle Morphogenesis (19g)	2.0015916502290136	-0.4502500384890835	-0.12264475732065505	-0.6519720928266005	-0.23160501316161328	-0.5451197484310597
Paramesonephric Duct Development (4g)	1.937235728544849	-0.5700533502718623	-0.020695177044309503	-0.8059091540070549	-0.019164808869479903	-0.5214132383521426
Regulation Of Motor Neuron Migration (1g)	1.965360312822592	-0.23059885374226985	-0.16484633903107576	-0.6459635287420072	-0.13571168336246486	-0.7882399079447745
Positive Regulation Of Motor Neuron Migration (1g)	1.965360312822592	-0.23059885374226985	-0.16484633903107576	-0.6459635287420072	-0.13571168336246486	-0.7882399079447745
Regulation Of Lateral Motor Column Neuron Migration (1g)	1.965360312822592	-0.23059885374226985	-0.16484633903107576	-0.6459635287420072	-0.13571168336246486	-0.7882399079447745
Positive Regulation Of Lateral Motor Column Neuron Migration (1g)	1.965360312822592	-0.23059885374226985	-0.16484633903107576	-0.6459635287420072	-0.13571168336246486	-0.7882399079447745
Modulation By Symbiont Of Host Transcription (1g)	1.978510936206753	-0.6441048223444249	-0.27679812047780655	-0.6174691564313864	0.020634753279522192	-0.46077359023265735
Modulation By Virus Of Host Transcription (1g)	1.978510936206753	-0.6441048223444249	-0.27679812047780655	-0.6174691564313864	0.020634753279522192	-0.46077359023265735
Directional Locomotion (3g)	1.9265454822163735	-0.4540698214920025	0.132685018685202	-0.7980738484350092	-0.17768799264308438	-0.6293988383314787
Smoothened Signaling Pathway Involved In Dorsal/Ventral Neural Tube Patterning (14g)	1.9633320598492805	-0.16918562096076575	0.030865917351526342	-0.5495750582298142	-0.65090668085296	-0.624530617157262
Replication Fork Arrest (4g)	1.9746016835245566	-0.09411009270817504	-0.8531358780683993	-0.3393676731453157	-0.2652016771191854	-0.4227863624834791
Male Genitalia Development (23g)	-0.4426066908717972	2.034703777443255	-0.292782790043964	-0.5080064985355012	-0.4556683762992628	-0.33563942169273026
Regulation Of Neuronal Action Potential (5g)	-0.3508637178561358	2.032848005764181	-0.3326368295672223	-0.575492956105378	-0.42666916052259024	-0.3471853417128549
Regulation Of Voltage-Gated Sodium Channel Activity (4g)	-0.39647057845725786	2.032116369556399	-0.41727657032820653	-0.44206917681227026	-0.5338352453913607	-0.2424647985673043
Negative Regulation Of Cgmp-Mediated Signaling (6g)	-0.38823557668329794	2.0315386500178025	-0.3818386180625141	-0.40787770696628783	-0.27570775611507914	-0.5778789921906241
Mitotic Cell Cycle Arrest (17g)	-0.3098823539867261	2.031220473642046	-0.5263276902542692	-0.48737813326678703	-0.4350143579115919	-0.2726179382226724
Xanthine Metabolic Process (3g)	-0.48482496609882547	2.031275137834574	-0.27667066725404266	-0.47797863812015334	-0.49684973743533545	-0.29495112892621717
Transforming Growth Factor Beta Receptor Complex Assembly (3g)	-0.36358066617376134	2.0322841904298157	-0.2569013695702059	-0.5385708187311965	-0.44900003294410173	-0.42423130301055034
Wnt Receptor Catabolic Process (2g)	-0.3920024759963926	2.0334245312797297	-0.3943896535893916	-0.501723115143861	-0.48777737119093123	-0.2575319153591531
Ceramide Translocation (2g)	-0.44472467983787345	2.033759740149181	-0.23961642741546296	-0.47497822247949695	-0.455900658759276	-0.41853975165707163
Cardiac Pacemaker Cell Development (4g)	-0.5428486029092257	2.0307976474612817	-0.27473215828488934	-0.4989267281708286	-0.38600210184555667	-0.32828805625078095
Regulation Of Semaphorin-Plexin Signaling Pathway (3g)	-0.4000749999450223	2.0327417942756885	-0.3786433440900173	-0.5809106605102413	-0.32024074507118117	-0.35287204465922645
Paranodal Junction Maintenance (1g)	-0.48651715182841787	2.033003509277699	-0.26509130015967103	-0.4584900677500297	-0.4860344687681471	-0.3368705207714338
Fatty Acid Beta-Oxidation (71g)	-0.5684836544056657	2.034025182746001	-0.35387469041529157	-0.39313517967608963	-0.33061750753132996	-0.3879141507176268
Protein Amidation (1g)	-0.25116572891177835	2.0310238539824077	-0.36291226281982886	-0.40039966773254027	-0.468589385521516	-0.5479568089967439
Jun Phosphorylation (4g)	-0.3383564817743226	2.0355823368089516	-0.46641646146262816	-0.4644915255642222	-0.46976497032474623	-0.29655289768303195
Response To L-Ascorbic Acid (5g)	-0.5163623816853137	2.0321760096739174	-0.2829960615616563	-0.48611731094027166	-0.43836208763889506	-0.3083381678477799
Negative Regulation Of Microvillus Assembly (1g)	-0.42222785766516413	2.035214124622843	-0.26676928818625495	-0.45587833020664237	-0.4914550861951122	-0.3988835623696696
Positive Regulation Of Cellular Response To Hypoxia (2g)	-0.40073867424570886	2.031486259240914	-0.2893848003385059	-0.5053487620300291	-0.5273034808644961	-0.30871054176217394
Positive Regulation Of Collagen Binding (1g)	-0.5080254794437872	2.034057829803779	-0.33776879021563166	-0.5096218067026166	-0.3244985796310053	-0.3541431738107381
Kupffer's Vesicle Development (1g)	-0.35475866586059807	2.0388936504694004	-0.3849411995578682	-0.48526973154970054	-0.43979759559800036	-0.374126457903233
Pronephric Nephron Morphogenesis (1g)	-0.35475866586059807	2.0388936504694004	-0.3849411995578682	-0.48526973154970054	-0.43979759559800036	-0.374126457903233
Pronephric Duct Development (1g)	-0.35475866586059807	2.0388936504694004	-0.3849411995578682	-0.48526973154970054	-0.43979759559800036	-0.374126457903233
Pronephric Duct Morphogenesis (1g)	-0.35475866586059807	2.0388936504694004	-0.3849411995578682	-0.48526973154970054	-0.43979759559800036	-0.374126457903233
Positive Regulation Of Polarized Epithelial Cell Differentiation (1g)	-0.35475866586059807	2.0388936504694004	-0.3849411995578682	-0.48526973154970054	-0.43979759559800036	-0.374126457903233
Pronephric Nephron Tubule Morphogenesis (1g)	-0.35475866586059807	2.0388936504694004	-0.3849411995578682	-0.48526973154970054	-0.43979759559800036	-0.374126457903233
Specification Of Axis Polarity (4g)	-0.40520309068209687	2.0346031082755545	-0.34073107609754083	-0.5494739402075117	-0.3197139114264617	-0.4194810898619439
Pronephros Morphogenesis (2g)	-0.3328769335734971	2.035910831154471	-0.3515597756859427	-0.5393099326010032	-0.40769767725964146	-0.40446651203438583
Pronephric Nephron Tubule Development (2g)	-0.3328769335734971	2.035910831154471	-0.3515597756859427	-0.5393099326010032	-0.40769767725964146	-0.40446651203438583
Calcium Export From The Mitochondrion (2g)	-0.3756599983136438	2.036876446443414	-0.44369761370660477	-0.5184073827168673	-0.35285040135395623	-0.34626105035234117
Positive Regulation Of Cell Volume (1g)	-0.49475810781606294	2.0323043947325803	-0.30142101629431306	-0.540072371315292	-0.35739787596194245	-0.33865502334496994
Positive Regulation Of Relaxation Of Muscle (2g)	-0.00952464773672352	-0.8138370579777554	1.9560591943850014	-0.40572958724883773	-0.1603174064772184	-0.5666504949444665
Positive Regulation Of Relaxation Of Cardiac Muscle (2g)	-0.00952464773672352	-0.8138370579777554	1.9560591943850014	-0.40572958724883773	-0.1603174064772184	-0.5666504949444665
Formation Of Anatomical Boundary (5g)	-0.8106674756615893	-0.21852492095482445	1.9736667512833237	-0.3038316113079175	-0.09429101158858787	-0.5463517317704056
