gene	cell_type	group	mean_expr	median_expr	pct_positive
AR	Adipo	normal	0.36911014091683453	0	22.58064516129032
AR	Adipo	tumor	0.068436990630973707	0	4.702455264253017
AR	Bcell	tumor	0.02265854365679192	0	1.5533980582524272
AR	CAR-like cells	normal	0.07922814060220015	0	5.797101449275362
AR	CAR-like cells	tumor	0.09701782333593831	0	7.873684210526316
AR	CLC	normal	0.09839390471867115	0	8.189655172413794
AR	Endo	normal	0.23052801045955032	0	13.281919451585262
AR	Endo	tumor	0.03703628102031578	0	3.338391502276176
AR	LEC	normal	0.04392483747990643	0	2.5735294117647056
AR	MSC	normal	0.12416818924330755	0	7.73368222125309
AR	MSC	tumor	0.07097055783421154	0	4.761904761904762
AR	Myeloid	normal	0.02327989632071285	0	1.96377918394065
AR	Myeloid	tumor	0.020920354227159956	0	1.7363851617995265
AR	Neural-like	tumor	0.0805093968458611	0	5.628058727569331
AR	PSC	normal	0.09881969193156863	0	5.745062836624776
AR	PSC	tumor	0	0	0
AR	Plasma	normal	0	0	0
AR	Plasma	tumor	0.013326006872167766	0	0.6884681583476765
AR	Tcell	normal	0.020285954431089853	0	1.25
AR	Tcell	tumor	0.016188347509883006	0	1.0945945945945945
AR	ZF	normal	0.04368233718044478	0	3.285094688023361
AR	ZG	normal	0.06749400811392367	0	4.675607104023197
AR	ZR	normal	0.0242539588470304	0	2.0277052800642443
CSF1R	Adipo	normal	0.27908277427098344	0	16.129032258064516
CSF1R	Adipo	tumor	0.030939928449907204	0	2.663337494798169
CSF1R	Bcell	tumor	0.07287432715673987	0	4.951456310679612
CSF1R	CAR-like cells	normal	0.11385410466687645	0	8.212560386473431
CSF1R	CAR-like cells	tumor	0.08932481718863428	0	6.484210526315789
CSF1R	CLC	normal	0.18171951629915023	0	14.870689655172415
CSF1R	Endo	normal	0.05470701020519805	0	3.547557840616967
CSF1R	Endo	tumor	0.07309241617912438	0	5.614567526555387
CSF1R	LEC	normal	0.053697623541637825	0	3.125
CSF1R	MSC	normal	0.13054757377975362	0	9.478121820031982
CSF1R	MSC	tumor	0.03669464626234093	0	4.761904761904762
CSF1R	Myeloid	normal	1.1922268796101325	1.3956670676775245	65.78660266201179
CSF1R	Myeloid	tumor	0.548245021338815	0	33.24782951854775
CSF1R	Neural-like	tumor	0.14062118381790698	0	9.66557911908646
CSF1R	PSC	normal	0.2759196208685934	0	16.696588868940754
CSF1R	PSC	tumor	0.3180324316699762	0	13.953488372093023
CSF1R	Plasma	normal	0.07857188395358868	0	6.382978723404255
CSF1R	Plasma	tumor	0.030282028991004243	0	1.8932874354561102
CSF1R	Tcell	normal	0.06681025678397247	0	4.431818181818182
CSF1R	Tcell	tumor	0.05671895124211524	0	3.9189189189189193
CSF1R	ZF	normal	0.056658707706665506	0	4.813844634345343
CSF1R	ZG	normal	0.056717824702393255	0	4.76621964479884
CSF1R	ZR	normal	0.05378139864693473	0	4.3164023288496285
MC2R	Adipo	normal	0.10250599931601605	0	9.67741935483871
MC2R	Adipo	tumor	5.813732124960355e-4	0	0.04161464835622139
MC2R	Bcell	tumor	0.004323211487269732	0	0.2669902912621359
MC2R	CAR-like cells	normal	0.05808159052298019	0	4.3478260869565215
MC2R	CAR-like cells	tumor	0.0023139080928257305	0	0.25263157894736843
MC2R	CLC	normal	0.08461353911103488	0	7.974137931034483
MC2R	Endo	normal	0.032695830099094686	0	2.107969151670951
MC2R	Endo	tumor	0	0	0
MC2R	LEC	normal	0.05824179582257443	0	4.044117647058823
MC2R	MSC	normal	0.036416556687578955	0	2.921936327954645
MC2R	MSC	tumor	0	0	0
MC2R	Myeloid	normal	0.040613896235669945	0	3.4693432249618157
MC2R	Myeloid	tumor	0.0029447448801469805	0	0.2565114443567482
MC2R	Neural-like	tumor	0.019352547255304376	0	1.3458401305057095
MC2R	PSC	normal	0.03978633735682452	0	2.872531418312388
MC2R	PSC	tumor	0	0	0
MC2R	Plasma	normal	0.04585075529292939	0	2.127659574468085
MC2R	Plasma	tumor	8.577802355838924e-4	0	0.17211703958691912
MC2R	Tcell	normal	0.047976426547191746	0	3.4090909090909087
MC2R	Tcell	tumor	0.0015154286413029418	0	0.0945945945945946
MC2R	ZF	normal	0.18013952360224073	0	13.642804998497017
MC2R	ZG	normal	0.18337315244988894	0	13.827473722363177
MC2R	ZR	normal	0.20945021558436228	0	14.123669945794019
