gene,1,2,3,4,5,6,7,8,9
FGFBP2,1.8831,-0.8411,0.4071,-0.2987,-0.8411,0.2242,-0.8411,-0.8411,1.1486
CREM,1.3001,-0.4761,0.4535,-0.5313,-0.4212,0.358,0.2402,-2.0117,1.0886
PDCD1,-0.7508,2.3608,0.405,0.0457,-0.5032,0.335,-0.4275,-0.5382,-0.9267
GZMH,0.2864,2.3096,0.7762,-0.5644,-0.6698,-0.3199,-0.5305,-0.6698,-0.6177
CX3CR1,-0.0881,2.2784,0.362,-0.6597,-0.2146,0.5978,-0.8909,-0.4939,-0.8909
CST7,0.4769,2.176,0.3057,-0.8459,-0.8866,0.4963,-0.7728,-0.7468,-0.2027
GZMA,0.4249,2.0083,0.4571,-0.8,-0.589,0.8516,-0.7562,-0.8942,-0.7026
TIGIT,0.3747,1.8739,1.352,-0.752,-0.217,-0.8166,-0.2964,-0.7582,-0.7603
HSP90AA1,0.4665,1.8708,0.6099,-0.0761,-1.5195,0.5824,-0.5657,-0.6965,-0.6719
GZMK,0.4636,1.8446,0.3615,-0.9474,-0.8002,1.1326,-0.629,-0.8117,-0.614
NKG7,0.5745,1.7978,1.1206,-0.9875,-0.8034,0.3622,-0.7218,-0.7342,-0.6084
LAG3,0.453,1.776,0.9258,-0.8828,-0.9572,0.3657,-0.5362,-1.2835,0.1392
HSPA5,0.1268,1.4988,-1.33,-0.3411,-0.8722,1.0884,-1.0814,0.8571,0.0536
TSC2,0.8088,1.4692,-0.7728,0.0798,-1.953,0.2832,-0.4671,0.6752,-0.1232
HMGB1,0.2123,1.1849,-1.526,0.799,-1.0974,0.6793,-1.1974,0.6099,0.3353
EOMES,-0.0183,1.2031,1.9312,-0.8423,-0.7541,0.4323,-0.8922,-0.5366,-0.5231
KLRD1,0.3529,0.1971,1.7989,-0.97,-0.9204,1.2653,-0.4934,-0.9402,-0.2901
FCGR3A,-0.0343,1.3139,1.3708,-1.1707,-0.9006,1.0613,-0.2114,-0.8139,-0.6151
MKI67,-0.4925,-1.2428,1.257,0.3034,-0.3316,-0.5288,1.2151,-1.2428,1.063
TCF7,-0.6359,-0.8353,-1.4869,1.2885,1.0323,-0.5732,0.0499,1.272,-0.1113
IL7R,-0.3632,-1.4155,-1.6687,0.0537,0.9782,0.7738,-0.0923,0.7981,0.9359
GNLY,0.223,-0.227,-0.4895,-0.4487,-0.3571,2.5879,-0.3167,-0.6598,-0.312
ITGA1,0.0311,0.8735,0.1087,-0.6859,-0.588,2.1868,-0.5516,-1.1216,-0.253
ITGB1,0.8517,0.457,-0.9496,-0.8429,-0.2787,2.0109,-0.0896,-1.1508,-0.0079
HAVCR2,0.1345,0.7334,0.3431,1.0673,-1.5876,1.1999,-1.069,-1.0219,0.2002
HMGB2,0.5929,0.273,-0.447,-0.6587,-0.9594,1.0554,-1.7592,0.9675,0.9355
HSP90AB1,-0.7975,-0.4748,-1.9492,0.0557,0.0861,0.9141,1.5048,0.4024,0.2584
RUNX1,-0.446,1.1168,-0.1291,0.4526,-1.5414,-0.0805,-0.1474,1.7343,-0.9594
CCR7,-0.8881,-0.9988,-1.0419,1.1885,0.5334,-0.6928,0.1422,1.7113,0.0463
ATM,-1.3368,-0.8382,-0.4627,1.3713,-0.0886,-0.8233,0.2987,1.601,0.2786
LEF1,-0.8359,-1.1691,-1.1513,1.1103,0.5743,-0.9022,0.4995,1.2735,0.6009
SELL,-0.8408,-1.2393,-1.2556,0.8718,0.8862,-0.7471,0.3515,1.0444,0.9289
